title,score,inq,link,star
肖申克的救赎,9.6,希望让人自由。,https://movie.douban.com/subject/1292052/,1446358人评价
霸王别姬,9.6,风华绝代。,https://movie.douban.com/subject/1291546/,1071765人评价
这个杀手不太冷,9.4,怪蜀黍和小萝莉不得不说的故事。,https://movie.douban.com/subject/1295644/,1317740人评价
阿甘正传,9.4,一部美国近现代史。,https://movie.douban.com/subject/1292720/,1138313人评价
美丽人生,9.5,最美的谎言。,https://movie.douban.com/subject/1292063/,667052人评价
泰坦尼克号,9.3,失去的才是永恒的。 ,https://movie.douban.com/subject/1292722/,1079463人评价
千与千寻,9.3,最好的宫崎骏，最好的久石让。 ,https://movie.douban.com/subject/1291561/,1064913人评价
辛德勒的名单,9.5,拯救一个人，就是拯救整个世界。,https://movie.douban.com/subject/1295124/,593862人评价
盗梦空间,9.3,诺兰给了我们一场无法盗取的梦。,https://movie.douban.com/subject/3541415/,1138846人评价
忠犬八公的故事,9.3,永远都不能忘记你所爱的人。,https://movie.douban.com/subject/3011091/,754794人评价
机器人总动员,9.3,小瓦力，大人生。,https://movie.douban.com/subject/2131459/,754102人评价
三傻大闹宝莱坞,9.2,英俊版憨豆，高情商版谢耳朵。,https://movie.douban.com/subject/3793023/,1025037人评价
海上钢琴师,9.2,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,https://movie.douban.com/subject/1292001/,838959人评价
放牛班的春天,9.3,天籁一般的童声，是最接近上帝的存在。 ,https://movie.douban.com/subject/1291549/,711431人评价
楚门的世界,9.2,如果再也不能见到你，祝你早安，午安，晚安。,https://movie.douban.com/subject/1292064/,788303人评价
大话西游之大圣娶亲,9.2,一生所爱。,https://movie.douban.com/subject/1292213/,794377人评价
星际穿越,9.2,爱是一种力量，让我们超越时空感知它的存在。,https://movie.douban.com/subject/1889243/,815575人评价
龙猫,9.2,人人心中都有个龙猫，童年就永远不会消失。,https://movie.douban.com/subject/1291560/,703216人评价
教父,9.3,千万不要记恨你的对手，这样会让你失去理智。,https://movie.douban.com/subject/1291841/,514504人评价
熔炉,9.3,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,https://movie.douban.com/subject/5912992/,463192人评价
无间道,9.2,香港电影史上永不过时的杰作。,https://movie.douban.com/subject/1307914/,653260人评价
疯狂动物城,9.2,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,https://movie.douban.com/subject/25662329/,901086人评价
当幸福来敲门,9,平民励志片。 ,https://movie.douban.com/subject/1849031/,831199人评价
怦然心动,9,真正的幸福是来自内心深处。,https://movie.douban.com/subject/3319755/,920445人评价
触不可及,9.2,满满温情的高雅喜剧。,https://movie.douban.com/subject/6786002/,548177人评价
蝙蝠侠：黑暗骑士,9.1,无尽的黑暗。,https://movie.douban.com/subject/1851857/,532707人评价
乱世佳人,9.2,Tomorrow is another day.,https://movie.douban.com/subject/1300267/,379984人评价
活着,9.2,张艺谋最好的电影。,https://movie.douban.com/subject/1292365/,424026人评价
控方证人,9.6,比利·怀德满分作品。,https://movie.douban.com/subject/1296141/,186191人评价
少年派的奇幻漂流,9,瑰丽壮观、无人能及的冒险之旅。,https://movie.douban.com/subject/1929463/,823908人评价
指环王3：王者无敌,9.2,史诗的终章。,https://movie.douban.com/subject/1291552/,415703人评价
天堂电影院,9.2,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,https://movie.douban.com/subject/1291828/,405553人评价
鬼子来了,9.2,对敌人的仁慈，就是对自己残忍。,https://movie.douban.com/subject/1291858/,345904人评价
天空之城,9.1,对天空的追逐，永不停止。 ,https://movie.douban.com/subject/1291583/,486413人评价
十二怒汉,9.4,1957年的理想主义。 ,https://movie.douban.com/subject/1293182/,246012人评价
摔跤吧！爸爸,9,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,https://movie.douban.com/subject/26387939/,799948人评价
飞屋环游记,9,最后那些最无聊的事情，才是最值得怀念的。 ,https://movie.douban.com/subject/2129039/,740141人评价
大话西游之月光宝盒,9,旷古烁今。,https://movie.douban.com/subject/1299398/,642054人评价
搏击俱乐部,9,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,https://movie.douban.com/subject/1292000/,527676人评价
哈尔的移动城堡,9,带着心爱的人在天空飞翔。,https://movie.douban.com/subject/1308807/,541551人评价
罗马假日,9,爱情哪怕只有一天。,https://movie.douban.com/subject/1293839/,553618人评价
闻香识女人,9,史上最美的探戈。,https://movie.douban.com/subject/1298624/,474267人评价
末代皇帝,9.2,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,https://movie.douban.com/subject/1293172/,329103人评价
辩护人,9.2,电影的现实意义大过电影本身。,https://movie.douban.com/subject/21937445/,327366人评价
窃听风暴,9.1,别样人生。,https://movie.douban.com/subject/1900841/,328500人评价
寻梦环游记,9,死亡不是真的逝去，遗忘才是永恒的消亡。,https://movie.douban.com/subject/20495023/,763932人评价
素媛,9.2,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,https://movie.douban.com/subject/21937452/,302598人评价
两杆大烟枪,9.1,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,https://movie.douban.com/subject/1293350/,360199人评价
死亡诗社,9,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,https://movie.douban.com/subject/1291548/,400459人评价
飞越疯人院,9.1,自由万岁。,https://movie.douban.com/subject/1292224/,363292人评价
指环王2：双塔奇兵,9,承前启后的史诗篇章。,https://movie.douban.com/subject/1291572/,390310人评价
教父2,9.2,优雅的孤独。,https://movie.douban.com/subject/1299131/,279413人评价
V字仇杀队,8.9,一张面具背后的理想与革命。,https://movie.douban.com/subject/1309046/,611802人评价
指环王1：魔戒再现,9,传说的开始。,https://movie.douban.com/subject/1291571/,437867人评价
狮子王,9,动物版《哈姆雷特》。,https://movie.douban.com/subject/1301753/,416347人评价
美丽心灵,9,爱是一切逻辑和原由。,https://movie.douban.com/subject/1306029/,425926人评价
饮食男女,9.1,人生不能像做菜，把所有的料都准备好了才下锅。,https://movie.douban.com/subject/1291818/,300250人评价
海豚湾,9.3,海豚的微笑，是世界上最高明的伪装。,https://movie.douban.com/subject/3442220/,239518人评价
情书,8.9,暗恋的极致。,https://movie.douban.com/subject/1292220/,527045人评价
钢琴家,9.1,音乐能化解仇恨。,https://movie.douban.com/subject/1296736/,281378人评价
本杰明·巴顿奇事,8.8,在时间之河里感受溺水之苦。,https://movie.douban.com/subject/1485260/,555719人评价
看不见的客人,8.8,你以为你以为的就是你以为的。,https://movie.douban.com/subject/26580232/,601360人评价
美国往事,9.1,往事如烟，无处祭奠。,https://movie.douban.com/subject/1292262/,239880人评价
黑客帝国,8.9,视觉革命。,https://movie.douban.com/subject/1291843/,415817人评价
哈利·波特与魔法石,8.9,童话世界的开端。,https://movie.douban.com/subject/1295038/,440228人评价
西西里的美丽传说,8.8,美丽无罪。,https://movie.douban.com/subject/1292402/,528053人评价
大闹天宫,9.3,经典之作，历久弥新。,https://movie.douban.com/subject/1418019/,174871人评价
小鞋子,9.2,奔跑的孩子是天使。,https://movie.douban.com/subject/1303021/,207135人评价
拯救大兵瑞恩,9,美利坚精神输出大片No1.,https://movie.douban.com/subject/1292849/,354917人评价
让子弹飞,8.8,你给我翻译翻译，神马叫做TMD的惊喜。,https://movie.douban.com/subject/3742360/,903237人评价
致命魔术,8.8,孪生蝙蝠侠大战克隆金刚狼。,https://movie.douban.com/subject/1780330/,481127人评价
七宗罪,8.8,警察抓小偷，老鼠玩死猫。,https://movie.douban.com/subject/1292223/,575465人评价
音乐之声,9,用音乐化解仇恨，让歌声串起美好。,https://movie.douban.com/subject/1294408/,325059人评价
被嫌弃的松子的一生,8.9,以戏谑来戏谑戏谑。,https://movie.douban.com/subject/1787291/,428388人评价
低俗小说,8.8,故事的高级讲法。,https://movie.douban.com/subject/1291832/,475945人评价
猫鼠游戏,8.9,骗子大师和执著警探的你追我跑故事。 ,https://movie.douban.com/subject/1305487/,377598人评价
沉默的羔羊,8.8,安东尼·霍普金斯的顶级表演。,https://movie.douban.com/subject/1293544/,480382人评价
天使爱美丽,8.7,法式小清新。 ,https://movie.douban.com/subject/1292215/,638484人评价
勇敢的心,8.9,史诗大片的典范。,https://movie.douban.com/subject/1294639/,378339人评价
蝴蝶效应,8.8,人的命运被自己瞬间的抉择改变。,https://movie.douban.com/subject/1292343/,529040人评价
春光乍泄,8.9,爱情纠缠，男女一致。,https://movie.douban.com/subject/1292679/,353065人评价
剪刀手爱德华,8.7,浪漫忧郁的成人童话。,https://movie.douban.com/subject/1292370/,654463人评价
心灵捕手,8.8,人生中应该拥有这样的一段豁然开朗。,https://movie.douban.com/subject/1292656/,387443人评价
穿条纹睡衣的男孩,9,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,https://movie.douban.com/subject/3008247/,240515人评价
禁闭岛,8.7,昔日翩翩少年，今日大腹便便。,https://movie.douban.com/subject/2334904/,516405人评价
布达佩斯大饭店,8.8,小清新的故事里注入了大历史的情怀。,https://movie.douban.com/subject/11525673/,479173人评价
入殓师,8.8,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,https://movie.douban.com/subject/2149806/,393565人评价
阿凡达,8.7,绝对意义上的美轮美奂。,https://movie.douban.com/subject/1652587/,756575人评价
幽灵公主,8.9,人与自然的战争史诗。,https://movie.douban.com/subject/1297359/,324337人评价
阳光灿烂的日子,8.8,一场华丽的意淫。,https://movie.douban.com/subject/1291875/,368421人评价
致命ID,8.7,最不可能的那个人永远是最可能的。,https://movie.douban.com/subject/1297192/,440347人评价
加勒比海盗,8.7,约翰尼·德普的独角戏。,https://movie.douban.com/subject/1298070/,498122人评价
第六感,8.8,深入内心的恐怖，出人意料的结局。,https://movie.douban.com/subject/1297630/,316130人评价
摩登时代,9.2,大时代中的人生，小人物的悲喜。,https://movie.douban.com/subject/1294371/,140592人评价
断背山,8.7,每个人心中都有一座断背山。,https://movie.douban.com/subject/1418834/,434193人评价
重庆森林,8.7,寂寞没有期限。,https://movie.douban.com/subject/1291999/,454119人评价
狩猎,9.1,人言可畏。,https://movie.douban.com/subject/6985810/,189931人评价
玛丽和马克思,8.9,你是我最好的朋友，你是我唯一的朋友 。,https://movie.douban.com/subject/3072124/,283258人评价
喜剧之王,8.7,我是一个演员。,https://movie.douban.com/subject/1302425/,488488人评价
告白,8.7,没有一人完全善，也没有一人完全恶。,https://movie.douban.com/subject/4268598/,454141人评价
消失的爱人,8.7,年度最佳date movie。,https://movie.douban.com/subject/21318488/,506256人评价
大鱼,8.8,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,https://movie.douban.com/subject/1291545/,336136人评价
