title,score,number,link
We Sing. We Dance. We Steal Things.,9.1,(106288人评价),https://music.douban.com/subject/2995812/
Viva La Vida,8.7,(90951人评价),https://music.douban.com/subject/3040149/
,8.9,(78265人评价),https://music.douban.com/subject/1427374/
华丽的冒险,9.2,(101110人评价),https://music.douban.com/subject/1403307/
,8.8,(80672人评价),https://music.douban.com/subject/3259411/
范特西,8.6,(72832人评价),https://music.douban.com/subject/5958397/
,8.5,(74110人评价),https://music.douban.com/subject/3184419/
後。青春期的詩,8.7,(67956人评价),https://music.douban.com/subject/3041487/
,9.2,(74142人评价),https://music.douban.com/subject/1395089/
是时候,8.6,(67107人评价),https://music.douban.com/subject/3390002/
,9.1,(65375人评价),https://music.douban.com/subject/2131368/
Lenka,8.9,(60697人评价),https://music.douban.com/subject/1394765/
Start from Here,8.9,(63594人评价),https://music.douban.com/subject/1396380/
,8.8,(58256人评价),https://music.douban.com/subject/2134548/
旅行的意义,8.6,(63172人评价),https://music.douban.com/subject/3717116/
太阳,8.5,(56102人评价),https://music.douban.com/subject/2131595/
,8.3,(54286人评价),https://music.douban.com/subject/3801228/
Once (Soundtrack),9.1,(49373人评价),https://music.douban.com/subject/1394590/
,9.3,(49170人评价),https://music.douban.com/subject/1431596/
Not Going Anywhere,8.5,(64750人评价),https://music.douban.com/subject/1406522/
,8.1,(75449人评价),https://music.douban.com/subject/1401853/
American Idiot,9.0,(54421人评价),https://music.douban.com/subject/5351500/
思念是一种病,8.6,(49716人评价),https://music.douban.com/subject/1788174/
,9.3,(51589人评价),https://music.douban.com/subject/1402531/
無與倫比的美麗,8.9,(48830人评价),https://music.douban.com/subject/6816154/
感官/世界,8.7,(51056人评价),https://music.douban.com/subject/4738592/
,9.2,(48329人评价),https://music.douban.com/subject/1394568/
Nevermind,8.5,(56445人评价),https://music.douban.com/subject/1403832/
八度空间,8.9,(54075人评价),https://music.douban.com/subject/1422300/
,9.0,(46185人评价),https://music.douban.com/subject/1463061/
Jay,8.9,(46856人评价),https://music.douban.com/subject/1405028/
Parachutes,9.0,(43788人评价),https://music.douban.com/subject/1394547/
